# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   10.267769616    0.749592784    0.749977362    0.749557492
   10.317851419    0.714443682    0.714734471    0.714451187
   10.367933222    0.649325328    0.649582538    0.649363167
   10.418015025    0.607294267    0.607541138    0.607352713
   10.468096828    0.568190044    0.568427243    0.568251657
   10.518178631    0.556565593    0.556822706    0.556642248
   10.568260434    0.553380151    0.553715911    0.553502016
   10.618342237    0.533167571    0.533688727    0.533390202
   10.668424040    0.526305981    0.526983272    0.526611949
   10.718505843    0.542423970    0.542895442    0.542615990
   10.768587646    0.554769520    0.555031420    0.554841488
   10.818669449    0.538284593    0.538423936    0.538272105
   10.868751252    0.512940543    0.512973177    0.512827587
   10.918833055    0.486558429    0.486473741    0.486315122
   10.968914858    0.469720447    0.469649750    0.469493700
   11.018996661    0.462284848    0.462307698    0.462159151
   11.069078464    0.455993983    0.456077733    0.455912530
   11.119160267    0.446432263    0.446567477    0.446348749
   11.169242070    0.428216039    0.428429466    0.428082496
   11.219323873    0.419443430    0.419795686    0.419192429
   11.269405676    0.433834365    0.434250788    0.433535947
   11.319487479    0.444481570    0.444771482    0.444323413
   11.369569282    0.433214582    0.433417459    0.433163684
   11.419651085    0.415729058    0.415901338    0.415738540
   11.469732888    0.391104403    0.391276897    0.391158451
   11.519814691    0.384400431    0.384597359    0.384502111
   11.569896494    0.389361106    0.389615489    0.389532155
   11.619978297    0.389160297    0.389534636    0.389454269
   11.670060100    0.368327986    0.368961360    0.368872625
   11.720141903    0.366034718    0.367160612    0.367047958
   11.770223706    0.375635852    0.376955029    0.376833016
   11.820305509    0.374099407    0.374969944    0.374872663
   11.870387312    0.362235273    0.362849818    0.362763470
   11.920469115    0.361788062    0.362426835    0.362327288
   11.970550918    0.379914503    0.380794040    0.380657846
   12.020632721    0.380139248    0.380993231    0.380858735
   12.070714524    0.340680710    0.341187286    0.341098689
   12.120796327    0.306729928    0.307026673    0.306965904
   12.170878130    0.296713946    0.296909393    0.296862225
   12.220959933    0.290326387    0.290469132    0.290429020
   12.271041736    0.285914401    0.286027102    0.285990422
   12.321123539    0.291010706    0.291104842    0.291069973
   12.371205342    0.285095875    0.285178109    0.285144400
   12.421287145    0.272983322    0.273058199    0.273024962
   12.471368948    0.258849453    0.258919951    0.258886041
   12.521450751    0.254818016    0.254886716    0.254851163
   12.571532554    0.254432856    0.254503805    0.254464976
   12.621614357    0.251279910    0.251357677    0.251313141
   12.671696160    0.251570311    0.251661609    0.251607140
   12.721777963    0.249903954    0.250021397    0.249948357
   12.771859766    0.241440347    0.241611034    0.241501618
   12.821941569    0.230809011    0.231095223    0.230908579
   12.872023372    0.214226208    0.214742714    0.214403093
   12.922105175    0.202150763    0.202795471    0.202370434
   12.972186978    0.194558423    0.194967263    0.194698076
   13.022268781    0.201426442    0.201650070    0.201503338
   13.072350584    0.203089976    0.203226476    0.203136890
   13.122432387    0.196172486    0.196266174    0.196204303
   13.172514190    0.189037246    0.189107463    0.189060639
   13.222595993    0.188205548    0.188261984    0.188224088
   13.272677796    0.186640457    0.186688281    0.186655952
   13.322759599    0.181562150    0.181604216    0.181575506
   13.372841402    0.178884571    0.178922642    0.178896479
   13.422923205    0.179596598    0.179631852    0.179607552
   13.473005008    0.187083037    0.187116487    0.187093220
   13.523086811    0.190348553    0.190381529    0.190358194
   13.573168614    0.186025732    0.186059400    0.186035010
   13.623250417    0.170321323    0.170356551    0.170330114
   13.673332220    0.164381524    0.164419642    0.164389871
   13.723414023    0.179047292    0.179091004    0.179055834
   13.773495826    0.196471314    0.196525536    0.196480722
   13.823577629    0.204554982    0.204629445    0.204565751
   13.873659432    0.203502146    0.203617970    0.203516191
   13.923741235    0.198045100    0.198250252    0.198066867
   13.973823038    0.198617064    0.198974721    0.198652346
   14.023904841    0.198635024    0.198994278    0.198670174
   14.073986644    0.196366822    0.196577370    0.196387897
