# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.904108514   11.945031913   11.945630355   11.945146481
    1.954190317   11.747713054   11.748310150   11.747827377
    2.004272120   11.555061075   11.555656797   11.555175147
    2.054353923   11.366950905   11.367545227   11.367064722
    2.104435726   11.183259942   11.183852837   11.183373498
    2.154517529   11.003868230   11.004459672   11.003981520
    2.204599332   10.828658599   10.829248563   10.828771619
    2.254681135   10.657516761   10.658105220   10.657629504
    2.304762938   10.490331365   10.490918295   10.490443827
    2.354844741   10.326994036   10.327579413   10.327106212
    2.404926544   10.167399379   10.167983179   10.167511265
    2.455008347   10.011444970   10.012027170   10.011556561
    2.505090150    9.859031330    9.859611906    9.859142622
    2.555171953    9.710061885    9.710640815    9.710172873
    2.605253756    9.564442918    9.565020180    9.564553598
    2.655335559    9.422083511    9.422659085    9.422193879
    2.705417362    9.282895486    9.283469348    9.283005537
    2.755499165    9.146793331    9.147365463    9.146903062
    2.805580968    9.013694138    9.014264518    9.013803545
    2.855662771    8.883517524    8.884086133    8.883626602
    2.905744574    8.756185562    8.756752381    8.756294308
    2.955826377    8.631622706    8.632187716    8.631731117
    3.005908180    8.509755716    8.510318899    8.509863788
    3.055989983    8.390513590    8.391074928    8.390621319
    3.106071786    8.273827484    8.274386961    8.273934868
    3.156153589    8.159630651    8.160188248    8.159737685
    3.206235392    8.047858363    8.048414064    8.047965045
    3.256317195    7.938447850    7.939001640    7.938554176
    3.306398998    7.831338232    7.831890096    7.831444201
    3.356480801    7.726470457    7.727020380    7.726576065
    3.406562604    7.623787238    7.624335205    7.623892481
    3.456644407    7.523232992    7.523778988    7.523337868
    3.506726210    7.424753786    7.425297799    7.424858292
    3.556808013    7.328297279    7.328839295    7.328401413
    3.606889816    7.233812669    7.234352676    7.233916429
    3.656971619    7.141250641    7.141788627    7.141354025
    3.707053422    7.050563319    7.051099272    7.050666324
    3.757135225    6.961704215    6.962238123    6.961806838
    3.807217028    6.874628183    6.875160036    6.874730423
    3.857298831    6.789291378    6.789821165    6.789393233
    3.907380634    6.705651209    6.706178921    6.705752677
    3.957462437    6.623666301    6.624191928    6.623767380
    4.007544240    6.543296453    6.543819985    6.543397141
    4.057626043    6.464502600    6.465024029    6.464602895
    4.107707846    6.387246778    6.387766096    6.387346679
    4.157789649    6.311492087    6.312009285    6.311591592
    4.207871452    6.237202656    6.237717727    6.237301764
    4.257953255    6.164343614    6.164856551    6.164442322
    4.308035058    6.092881052    6.093391849    6.092979361
    4.358116861    6.022782000    6.023290650    6.022879908
    4.408198664    5.954014391    5.954520889    5.954111897
    4.458280467    5.886547038    5.887051377    5.886644140
    4.508362270    5.820349601    5.820851778    5.820446299
    4.558444073    5.755392567    5.755892575    5.755488859
    4.608525876    5.691647219    5.692145055    5.691743105
    4.658607679    5.629085616    5.629581275    5.629181094
    4.708689482    5.567680564    5.568174044    5.567775635
    4.758771285    5.507405601    5.507896897    5.507500264
    4.808853088    5.448234967    5.448724077    5.448329220
    4.858934891    5.390143587    5.390630508    5.390237431
    4.909016694    5.333107050    5.333591780    5.333200484
    4.959098497    5.277101589    5.277584125    5.277194612
    5.009180301    5.222104060    5.222584402    5.222196672
    5.059262104    5.168091926    5.168570072    5.168184127
    5.109343907    5.115043240    5.115519188    5.115135029
    5.159425710    5.062936621    5.063410372    5.063027999
    5.209507513    5.011751248    5.012222800    5.011842214
    5.259589316    4.961466833    4.961936187    4.961557387
    5.309671119    4.912063612    4.912530768    4.912153754
    5.359752922    4.863522329    4.863987287    4.863612059
    5.409834725    4.815824219    4.816286980    4.815913537
    5.459916528    4.768950995    4.769411561    4.769039902
    5.509998331    4.722884836    4.723343207    4.722973331
    5.560080134    4.677608370    4.678064549    4.677696455
    5.610161937    4.633104666    4.633558654    4.633192339
    5.660243740    4.589357215    4.589809014    4.589444479
    5.710325543    4.546349926    4.546799539    4.546436779
    5.760407346    4.504067107    4.504514535    4.504153550
    5.810489149    4.462493458    4.462938705    4.462579492
    5.860570952    4.421614057    4.422057126    4.421699682
    5.910652755    4.381414354    4.381855248    4.381499571
    5.960734558    4.341880155    4.342318878    4.341964965
    6.010816361    4.302997616    4.303434171    4.303082019
    6.060898164    4.264753234    4.265187625    4.264837230
    6.110979967    4.227133831    4.227566063    4.227217422
    6.161061770    4.190126554    4.190556630    4.190209741
    6.211143573    4.153718860    4.154146786    4.153801643
    6.261225376    4.117898510    4.118324289    4.117980889
