# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000*********************************************
    4.909016694   -6.225771697   -6.224992365   -6.225785263
    4.959098497   -5.801548967   -5.800760358   -5.801557606
    5.009180301   -6.187544557   -6.186746534   -6.187548283
    5.059262104   -6.902336306   -6.901528747   -6.902335061
    5.109343907   -7.330224269   -7.329406930   -7.330217984
    5.159425710   -7.482169747   -7.481342436   -7.482158556
    5.209507513   -7.022362831   -7.021525434   -7.022346962
    5.259589316   -6.591404263   -6.590556626   -6.591383804
    5.309671119   -6.272999676   -6.272141525   -6.272974613
    5.359752922   -6.030511388   -6.029642496   -6.030481754
    5.409834725   -5.849586758   -5.848706963   -5.849552564
    5.459916528   -5.709500737   -5.708609834   -5.709461982
    5.509998331   -5.658788486   -5.657886232   -5.658745203
    5.560080134   -5.677681966   -5.676768015   -5.677634163
    5.610161937   -5.521665497   -5.520739505   -5.521613168
    5.660243740   -5.382631248   -5.381692927   -5.382574432
    5.710325543   -5.420633898   -5.419682975   -5.420572626
    5.760407346   -5.617961565   -5.616997691   -5.617895851
    5.810489149   -6.149103776   -6.148126551   -6.149033541
    5.860570952   -6.185465952   -6.184475038   -6.185391138
    5.910652755   -5.803874777   -5.802869878   -5.803795389
    5.960734558   -5.612665719   -5.611646475   -5.612581741
    6.010816361   -5.428998200   -5.427964145   -5.428909560
    6.060898164   -5.128053285   -5.127003901   -5.127959900
    6.110979967   -4.948649566   -4.947584322   -4.948551363
    6.161061770   -4.964504135   -4.963422540   -4.964401114
    6.211143573   -5.042889131   -5.041790578   -5.042781216
    6.261225376   -5.021150442   -5.020034370   -5.021037541
    6.311307179   -4.739259389   -4.738125299   -4.739141454
    6.361388982   -4.438282458   -4.437129696   -4.438159408
    6.411470785   -4.373540067   -4.372367918   -4.373411838
    6.461552588   -4.307516527   -4.306324245   -4.307383027
    6.511634391   -4.103233997   -4.102020814   -4.103095083
    6.561716194   -3.936381355   -3.935146465   -3.936236894
    6.611797997   -3.676946741   -3.675689282   -3.676796537
    6.661879800   -3.350084274   -3.348803327   -3.349928165
    6.711961603   -3.146081813   -3.144776358   -3.145919628
    6.762043406   -3.162422595   -3.161091568   -3.162254161
    6.812125209   -3.203846918   -3.202489219   -3.203672032
    6.862207012   -3.327450208   -3.326064628   -3.327268667
    6.912288815   -3.585569225   -3.584154476   -3.585380824
    6.962370618   -3.696259272   -3.694813970   -3.696063739
    7.012452421   -3.602216828   -3.600739501   -3.602013870
    7.062534224   -3.501910098   -3.500399123   -3.501699408
    7.112616027   -3.589688667   -3.588142247   -3.589469922
    7.162697830   -3.716699956   -3.715116244   -3.716472798
    7.212779633   -3.683807625   -3.682184544   -3.683571616
    7.262861436   -3.531873332   -3.530208401   -3.531627924
    7.312943239   -3.262300711   -3.260591608   -3.262045469
    7.363025042   -2.979838385   -2.978082512   -2.979572795
    7.413106845   -2.743649762   -2.741844205   -2.743373231
    7.463188648   -2.629390182   -2.627531733   -2.629102069
    7.513270451   -2.506299901   -2.504384942   -2.505999439
    7.563352254   -2.386263425   -2.384287973   -2.385949764
    7.613434057   -2.271832888   -2.269792584   -2.271505102
    7.663515860   -2.207742356   -2.205632329   -2.207399418
    7.713597663   -2.112489334   -2.110304098   -2.112130072
    7.763679466   -2.043800038   -2.041533405   -2.043423114
    7.813761269   -1.974390472   -1.972035419   -1.973994337
    7.863843072   -1.970049243   -1.967597725   -1.969632076
    7.913924875   -1.988566255   -1.986008969   -1.988125598
    7.964006678   -2.019695665   -2.017022465   -2.019228970
    8.014088481   -2.094969718   -2.092169403   -2.094475377
    8.064170284   -2.184039909   -2.181098109   -2.183514835
    8.114252087   -2.416606991   -2.413506113   -2.416046463
    8.164333890   -2.551967161   -2.548685876   -2.551366288
    8.214415693   -2.485047457   -2.481558300   -2.484400950
    8.264497496   -2.377909184   -2.374180202   -2.377211764
    8.314579299   -2.315310200   -2.311306138   -2.314551440
    8.364661102   -2.293751125   -2.289425337   -2.292917633
    8.414742905   -2.177387647   -2.172678694   -2.176468350
    8.464824708   -2.096745841   -2.091570199   -2.095724165
    8.514906511   -2.087369315   -2.081614259   -2.086222278
    8.564988314   -2.148778292   -2.142282912   -2.147468313
    8.615070117   -2.191919571   -2.184464439   -2.190390158
    8.665151920   -2.178137654   -2.169474724   -2.176273523
    8.715233723   -2.073764555   -2.063963438   -2.071183015
    8.765315526   -1.957338815   -1.948132841   -1.953267758
    8.815397329   -1.891240276   -1.885862582   -1.888475633
