# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    2.304762938    6.195078782    6.195078855    6.195078684
    2.354844741    6.184780579    6.184780651    6.184780482
    2.404926544    6.174322113    6.174322185    6.174322016
    2.455008347    6.163706181    6.163706253    6.163706086
    2.505090150    6.152935593    6.152935664    6.152935498
    2.555171953    6.142013163    6.142013233    6.142013068
    2.605253756    6.130941714    6.130941784    6.130941620
    2.655335559    6.119724072    6.119724142    6.119723980
    2.705417362    6.108363070    6.108363139    6.108362978
    2.755499165    6.096861537    6.096861606    6.096861445
    2.805580968    6.085222305    6.085222374    6.085222215
    2.855662771    6.073448205    6.073448274    6.073448116
    2.905744574    6.061542064    6.061542132    6.061541975
    2.955826377    6.049506703    6.049506770    6.049506614
    3.005908180    6.037344939    6.037345006    6.037344851
    3.055989983    6.025059581    6.025059648    6.025059494
    3.106071786    6.012653431    6.012653497    6.012653345
    3.156153589    6.000129278    6.000129344    6.000129193
    3.206235392    5.987489904    5.987489969    5.987489819
    3.256317195    5.974738075    5.974738140    5.974737991
    3.306398998    5.961876547    5.961876611    5.961876464
    3.356480801    5.948908059    5.948908123    5.948907977
    3.406562604    5.935835337    5.935835401    5.935835256
    3.456644407    5.922661090    5.922661153    5.922661009
    3.506726210    5.909388008    5.909388070    5.909387928
    3.556808013    5.896018765    5.896018827    5.896018685
    3.606889816    5.882556015    5.882556076    5.882555936
    3.656971619    5.869002393    5.869002454    5.869002315
    3.707053422    5.855360512    5.855360573    5.855360435
    3.757135225    5.841632966    5.841633027    5.841632890
    3.807217028    5.827822325    5.827822385    5.827822250
    3.857298831    5.813931137    5.813931197    5.813931063
    3.907380634    5.799961927    5.799961986    5.799961853
    3.957462437    5.785917196    5.785917255    5.785917123
    4.007544240    5.771799421    5.771799479    5.771799348
    4.057626043    5.757611052    5.757611110    5.757610981
    4.107707846    5.743354518    5.743354575    5.743354447
    4.157789649    5.729032218    5.729032274    5.729032147
    4.207871452    5.714646526    5.714646583    5.714646457
    4.257953255    5.700199792    5.700199848    5.700199724
    4.308035058    5.685694336    5.685694391    5.685694268
    4.358116861    5.671132451    5.671132506    5.671132384
    4.408198664    5.656516405    5.656516460    5.656516339
    4.458280467    5.641848436    5.641848490    5.641848370
    4.508362270    5.627130754    5.627130807    5.627130689
    4.558444073    5.612365542    5.612365595    5.612365478
    4.608525876    5.597554954    5.597555006    5.597554890
    4.658607679    5.582701115    5.582701167    5.582701052
    4.708689482    5.567806122    5.567806174    5.567806061
    4.758771285    5.552872045    5.552872096    5.552871983
    4.808853088    5.537900921    5.537900972    5.537900860
    4.858934891    5.522894760    5.522894811    5.522894701
    4.909016694    5.507855546    5.507855596    5.507855487
    4.959098497    5.492785229    5.492785279    5.492785171
    5.009180301    5.477685733    5.477685782    5.477685676
    5.059262104    5.462558953    5.462559002    5.462558896
    5.109343907    5.447406753    5.447406802    5.447406697
    5.159425710    5.432230971    5.432231019    5.432230915
    5.209507513    5.417033413    5.417033460    5.417033358
    5.259589316    5.401815858    5.401815905    5.401815804
    5.309671119    5.386580057    5.386580103    5.386580003
    5.359752922    5.371327730    5.371327776    5.371327677
    5.409834725    5.356060570    5.356060616    5.356060518
    5.459916528    5.340780242    5.340780287    5.340780190
    5.509998331    5.325488381    5.325488426    5.325488330
    5.560080134    5.310186596    5.310186641    5.310186546
    5.610161937    5.294876467    5.294876511    5.294876418
    5.660243740    5.279559546    5.279559589    5.279559497
    5.710325543    5.264237356    5.264237400    5.264237308
    5.760407346    5.248911396    5.248911439    5.248911348
    5.810489149    5.233583135    5.233583178    5.233583088
    5.860570952    5.218254016    5.218254058    5.218253970
    5.910652755    5.202925454    5.202925497    5.202925409
    5.960734558    5.187598840    5.187598882    5.187598795
    6.010816361    5.172275535    5.172275576    5.172275491
    6.060898164    5.156956877    5.156956917    5.156956833
    6.110979967    5.141644175    5.141644216    5.141644132
    6.161061770    5.126338715    5.126338755    5.126338673
    6.211143573    5.111041757    5.111041797    5.111041715
    6.261225376    5.095754534    5.095754573    5.095754492
    6.311307179    5.080478256    5.080478295    5.080478215
    6.361388982    5.065214106    5.065214145    5.065214066
    6.411470785    5.049963246    5.049963284    5.049963206
    6.461552588    5.034726811    5.034726849    5.034726771
    6.511634391    5.019505912    5.019505949    5.019505873
    6.561716194    5.004301637    5.004301674    5.004301599
    6.611797997    4.989115052    4.989115089    4.989115014
    6.661879800    4.973947198    4.973947234    4.973947160
    6.711961603    4.958799093    4.958799129    4.958799056
    6.762043406    4.943671733    4.943671769    4.943671697
    6.812125209    4.928566092    4.928566128    4.928566056
    6.862207012    4.913483122    4.913483157    4.913483087
    6.912288815    4.898423753    4.898423788    4.898423718
    6.962370618    4.883388892    4.883388927    4.883388858
    7.012452421    4.868379427    4.868379461    4.868379394
    7.062534224    4.853396225    4.853396258    4.853396191
    7.112616027    4.838440130    4.838440163    4.838440097
    7.162697830    4.823511967    4.823512000    4.823511935
    7.212779633    4.808612543    4.808612575    4.808612511
    7.262861436    4.793742641    4.793742673    4.793742609
    7.312943239    4.778903028    4.778903060    4.778902997
    7.363025042    4.764094449    4.764094481    4.764094418
    7.413106845    4.749317633    4.749317664    4.749317602
    7.463188648    4.734573287    4.734573318    4.734573257
    7.513270451    4.719862102    4.719862133    4.719862073
    7.563352254    4.705184750    4.705184780    4.705184721
    7.613434057    4.690541884    4.690541915    4.690541856
    7.663515860    4.675934142    4.675934172    4.675934114
    7.713597663    4.661362143    4.661362172    4.661362115
    7.763679466    4.646826487    4.646826516    4.646826460
    7.813761269    4.632327761    4.632327790    4.632327734
    7.863843072    4.617866533    4.617866561    4.617866506
    7.913924875    4.603443355    4.603443383    4.603443329
    7.964006678    4.589058763    4.589058791    4.589058737
    8.014088481    4.574713278    4.574713305    4.574713252
    8.064170284    4.560407404    4.560407431    4.560407379
    8.114252087    4.546141631    4.546141658    4.546141606
    8.164333890    4.531916434    4.531916461    4.531916410
    8.214415693    4.517732272    4.517732299    4.517732248
    8.264497496    4.503589591    4.503589617    4.503589567
    8.314579299    4.489488821    4.489488847    4.489488798
    8.364661102    4.475430380    4.475430405    4.475430357
