# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    9.716869783    6.661207505    6.661204530    6.661209167
    9.766951586    7.013565681    7.013562051    7.013567262
    9.817033389    7.641372168    7.641367824    7.641374611
    9.867115192    7.805109418    7.805104448    7.805110229
    9.917196995    7.061790291    7.061785734    7.061791641
    9.967278798    6.610031305    6.610027278    6.610032957
   10.017360601    7.086435562    7.086431453    7.086436443
   10.067442404    8.153088622    8.153085493    8.153087611
   10.117524207   10.259617873   10.259616139   10.259616864
   10.167606010   11.955590580   11.955591769   11.955594234
   10.217687813   12.500324155   12.500328641   12.500331519
   10.267769616   11.512389059   11.512394433   11.512397393
   10.317851419   10.129340513   10.129341618   10.129344811
   10.367933222   10.066830071   10.066828594   10.066830775
   10.418015025   10.037364560   10.037362176   10.037365065
   10.468096828    9.331111310    9.331108733    9.331112280
   10.518178631    8.737244924    8.737243463    8.737245852
   10.568260434    9.191634459    9.191633259    9.191634807
   10.618342237   10.771302683   10.771301448   10.771304689
   10.668424040   12.502937823   12.502934819   12.502939769
   10.718505843   13.949570287   13.949567855   13.949572768
   10.768587646   14.549584766   14.549582559   14.549587526
   10.818669449   15.594337809   15.594335839   15.594336375
   10.868751252   17.428354375   17.428355455   17.428351909
   10.918833055   18.956699807   18.956703781   18.956699195
   10.968914858   21.011985792   21.011991885   21.011984727
   11.018996661   23.735521418   23.735527313   23.735518355
   11.069078464   26.452333623   26.452337620   26.452328175
   11.119160267   30.537081641   30.537081984   30.537068569
   11.169242070   31.632290788   31.632291524   31.632286586
   11.219323873   27.031543912   27.031545472   27.031544575
   11.269405676   24.501262355   24.501263083   24.501261535
   11.319487479   23.698595021   23.698596093   23.698594471
   11.369569282   24.100998881   24.101001405   24.100997836
   11.419651085   22.789229141   22.789232905   22.789230978
   11.469732888   21.452464125   21.452463634   21.452461191
   11.519814691   23.646909988   23.646906265   23.646901015
   11.569896494   28.727307651   28.727301081   28.727293221
   11.619978297   34.840535261   34.840528899   34.840523352
   11.670060100   35.459181173   35.459178285   35.459183768
   11.720141903   28.717022348   28.717021992   28.717034397
   11.770223706   21.454422193   21.454422381   21.454432726
   11.820305509   15.983383118   15.983383462   15.983389192
   11.870387312   13.125837982   13.125837583   13.125839145
   11.920469115   12.539134444   12.539133395   12.539133864
   11.970550918   12.522290383   12.522289488   12.522289697
   12.020632721   11.868070652   11.868070884   11.868071103
   12.070714524   10.863854555   10.863855171   10.863855973
   12.120796327   10.519175432   10.519177694   10.519178383
   12.170878130   10.089287640   10.089291103   10.089290405
   12.220959933    9.524364206    9.524366613    9.524364159
   12.271041736    9.154820072    9.154822500    9.154819091
   12.321123539    8.641702652    8.641705512    8.641702726
   12.371205342    8.136623016    8.136625957    8.136623117
   12.421287145    8.132612603    8.132615312    8.132613380
   12.471368948    8.240799962    8.240801629    8.240801272
   12.521450751    8.046161445    8.046160975    8.046161988
   12.571532554    7.927594927    7.927593275    7.927594906
   12.621614357    8.339716714    8.339715342    8.339715200
   12.671696160    9.307883035    9.307882445    9.307879310
   12.721777963    9.974820390    9.974820033    9.974814975
   12.771859766   10.434606935   10.434607029   10.434603388
   12.821941569   11.136574113   11.136574859   11.136574399
   12.872023372   11.637285047   11.637284924   11.637286233
   12.922105175   12.684992186   12.684991006   12.684991081
   12.972186978   13.570074480   13.570073665   13.570073263
   13.022268781   13.925776909   13.925776900   13.925778370
   13.072350584   13.662141830   13.662143122   13.662145821
   13.122432387   12.273013361   12.273016163   12.273018041
   13.172514190   10.939379536   10.939382824   10.939382821
   13.222595993   10.137822321   10.137825782   10.137825415
   13.272677796    9.768724414    9.768727123    9.768727727
   13.322759599    9.245181705    9.245183191    9.245183845
   13.372841402    8.849534537    8.849536309    8.849536898
   13.422923205    8.180665374    8.180667549    8.180669542
   13.473005008    7.119006888    7.119010353    7.119011541
   13.523086811    6.111783925    6.111787426    6.111788199
   13.573168614    5.921587136    5.921588163    5.921589259
   13.623250417    6.353019779    6.353020300    6.353022058
   13.673332220    6.348636564    6.348639719    6.348641068
   13.723414023    6.187293618    6.187298707    6.187298964
   13.773495826    6.099679780    6.099683939    6.099684011
   13.823577629    6.175277986    6.175279855    6.175282597
   13.873659432    5.892242811    5.892242721    5.892247365
   13.923741235    5.487787706    5.487786925    5.487791483
   13.973823038    5.092262193    5.092262297    5.092264525
   14.023904841    4.919612332    4.919612927    4.919613884
   14.073986644    5.397357524    5.397357277    5.397358780
   14.124068447    6.042338844    6.042337497    6.042341619
   14.174150250    5.743319615    5.743318002    5.743323193
   14.224232053    5.385452867    5.385452491    5.385457199
   14.274313856    5.137382192    5.137382839    5.137386417
   14.324395659    5.042389663    5.042389944    5.042392065
   14.374477462    5.274584332    5.274584671    5.274585320
   14.424559265    5.653674143    5.653675838    5.653675390
   14.474641068    5.922906292    5.922908826    5.922908152
   14.524722871    5.991037742    5.991037987    5.991037116
   14.574804674    6.116623979    6.116621479    6.116621897
   14.624886477    6.274134195    6.274130723    6.274131438
   14.674968280    6.808557905    6.808554060    6.808554915
   14.725050083    7.036762073    7.036758675    7.036760092
   14.775131886    6.879155024    6.879152737    6.879154722
   14.825213689    6.251729804    6.251728067    6.251730407
   14.875295492    5.953406752    5.953405802    5.953407397
   14.925377295    5.973110470    5.973110158    5.973111357
   14.975459098    5.736210184    5.736210084    5.736211591
   15.025540902    5.873909456    5.873909385    5.873910132
   15.075622705    6.020768847    6.020767669    6.020768113
   15.125704508    6.341665158    6.341663550    6.341664032
   15.175786311    6.536771071    6.536768786    6.536770688
   15.225868114    6.223913764    6.223910293    6.223913166
   15.275949917    5.864902588    5.864900012    5.864902441
   15.326031720    5.529275937    5.529274531    5.529276272
   15.376113523    5.336180962    5.336179812    5.336180488
   15.426195326    5.293941907    5.293941018    5.293940665
   15.476277129    5.899430458    5.899430374    5.899429406
   15.526358932    6.142806471    6.142807957    6.142807596
   15.576440735    5.606898940    5.606902084    5.606901579
   15.626522538    5.357244127    5.357248099    5.357246851
   15.676604341    5.302676461    5.302680744    5.302678424
   15.726686144    5.361234881    5.361239980    5.361237903
   15.776767947    5.104593561    5.104598277    5.104598398
   15.826849750    4.663196979    4.663200153    4.663202042
   15.876931553    4.358640364    4.358642648    4.358643632
   15.927013356    4.011373719    4.011376311    4.011375610
   15.977095159    3.494214769    3.494217568    3.494216101
   16.027176962    3.345618597    3.345621761    3.345620054
   16.077258765    3.140059940    3.140063354    3.140061292
   16.127340568    2.925665437    2.925669069    2.925665575
   16.177422371    3.003051540    3.003054439    3.003050292
   16.227504174    3.312118590    3.312119415    3.312115839
   16.277585977    3.612828765    3.612828937    3.612825538
   16.327667780    3.677410083    3.677410408    3.677407011
   16.377749583    3.455101212    3.455100838    3.455098703
   16.427831386    3.456196313    3.456194200    3.456193850
   16.477913189    3.797905644    3.797901625    3.797903109
   16.527994992    3.631882249    3.631877632    3.631879990
   16.578076795    3.149500575    3.149496706    3.149498800
   16.628158598    2.821019792    2.821016960    2.821018281
   16.678240401    2.650247765    2.650244313    2.650245479
   16.728322204    2.619241162    2.619237326    2.619238485
   16.778404007    2.717757779    2.717754448    2.717755603
   16.828485810    2.620115699    2.620113362    2.620113973
   16.878567613    2.619175766    2.619174614    2.619174630
   16.928649416    2.939911711    2.939910891    2.939910840
   16.978731219    3.125404306    3.125402778    3.125403545
   17.028813022    3.000420116    3.000418132    3.000420448
   17.078894825    2.922160602    2.922158940    2.922162220
   17.128976628    3.047138533    3.047137314    3.047140279
   17.179058431    3.127241369    3.127240059    3.127242007
   17.229140234    3.202914174    3.202912677    3.202913798
   17.279222037    2.974595266    2.974593648    2.974594678
   17.329303840    2.854245410    2.854243950    2.854244495
   17.379385643    2.933876695    2.933875660    2.933875417
   17.429467446    2.955273709    2.955273221    2.955272588
   17.479549249    2.857640560    2.857641137    2.857639610
   17.529631052    2.814964385    2.814964949    2.814962649
   17.579712855    2.724348573    2.724347993    2.724346073
   17.629794658    3.148575888    3.148574705    3.148572895
   17.679876461    3.539821096    3.539819835    3.539818539
   17.729958264    3.495025275    3.495024200    3.495023809
   17.780040067    3.315050200    3.315049719    3.315049755
   17.830121870    2.863469635    2.863469582    2.863469146
   17.880203673    2.465798343    2.465799180    2.465798151
   17.930285476    2.105080945    2.105081964    2.105080979
   17.980367279    1.930698683    1.930699491    1.930698619
   18.030449082    1.973194576    1.973195403    1.973194561
