# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   17.329303840   -2.907610247   -2.907608845   -2.907611876
   17.379385643   -2.817317848   -2.817316174   -2.817319211
   17.429467446   -2.912376149   -2.912374205   -2.912377068
   17.479549249   -2.870431722   -2.870430215   -2.870433135
   17.529631052   -2.861486455   -2.861486341   -2.861488104
   17.579712855   -2.613316220   -2.613316431   -2.613317395
   17.629794658   -2.390566673   -2.390566322   -2.390566805
   17.679876461   -2.780037628   -2.780036737   -2.780036595
   17.729958264   -3.216350060   -3.216348479   -3.216348359
   17.780040067   -3.606493035   -3.606491241   -3.606491847
   17.830121870   -3.829368181   -3.829366197   -3.829367404
   17.880203673   -3.796261249   -3.796259442   -3.796260433
   17.930285476   -3.625838139   -3.625837152   -3.625837692
   17.980367279   -3.294864212   -3.294863480   -3.294863981
   18.030449082   -3.067299477   -3.067298904   -3.067299223
   18.080530885   -2.960938092   -2.960937733   -2.960938057
   18.130612688   -2.824006836   -2.824006426   -2.824007158
   18.180694491   -2.827696362   -2.827695491   -2.827696419
   18.230776294   -2.966788785   -2.966788385   -2.966788796
   18.280858097   -3.072185677   -3.072186653   -3.072186438
   18.330939900   -3.092425069   -3.092426891   -3.092426740
   18.381021703   -2.982323859   -2.982325208   -2.982325249
   18.431103506   -2.824719784   -2.824720283   -2.824720373
   18.481185309   -2.708143527   -2.708143731   -2.708143719
   18.531267112   -2.671407944   -2.671408351   -2.671408384
   18.581348915   -2.662236279   -2.662236947   -2.662236902
   18.631430718   -2.634328536   -2.634329130   -2.634328852
   18.681512521   -2.606952611   -2.606952554   -2.606952381
   18.731594324   -2.682320611   -2.682319730   -2.682319849
   18.781676127   -2.727221784   -2.727220944   -2.727220957
   18.831757930   -2.560487905   -2.560487553   -2.560487525
   18.881839733   -2.409996248   -2.409996691   -2.409996158
   18.931921536   -2.455641181   -2.455642509   -2.455640830
   18.982003339   -2.523818250   -2.523819833   -2.523817567
   19.032085142   -2.519414508   -2.519415625   -2.519413927
   19.082166945   -2.403614006   -2.403614406   -2.403613517
   19.132248748   -2.277025241   -2.277024799   -2.277024740
   19.182330551   -2.220796316   -2.220795280   -2.220795779
   19.232412354   -2.209338904   -2.209337439   -2.209338485
   19.282494157   -2.139067157   -2.139065594   -2.139067086
   19.332575960   -2.031151476   -2.031150112   -2.031151765
   19.382657763   -1.860923202   -1.860922324   -1.860923781
   19.432739566   -1.727633176   -1.727632482   -1.727633651
   19.482821369   -1.708587561   -1.708587041   -1.708587992
   19.532903172   -1.836369170   -1.836368806   -1.836369469
   19.582984975   -2.008788906   -2.008788304   -2.008788877
   19.633066778   -2.076275856   -2.076274825   -2.076275429
   19.683148581   -1.950071560   -1.950070459   -1.950071007
   19.733230384   -1.772428886   -1.772427915   -1.772428357
   19.783312187   -1.688151894   -1.688150963   -1.688151440
   19.833393990   -1.683753949   -1.683753094   -1.683753386
   19.883475793   -1.678950427   -1.678949624   -1.678949778
   19.933557596   -1.649342182   -1.649341445   -1.649341309
   19.983639399   -1.644198048   -1.644197495   -1.644197264
   20.033721202   -1.608267880   -1.608267607   -1.608267643
   20.083803005   -1.644179529   -1.644179595   -1.644179408
   20.133884808   -1.725642826   -1.725642938   -1.725642551
   20.183966611   -1.822973171   -1.822973123   -1.822972829
   20.234048414   -1.999811108   -1.999810890   -1.999811028
   20.284130217   -2.063582836   -2.063582797   -2.063583064
