#  E (eV)   dos(E)     Int dos(E) EFermi =    8.833 eV
  -3.020  0.3169E+00  0.1167E+00
  -3.010  0.3197E+00  0.1199E+00
  -3.000  0.3224E+00  0.1232E+00
  -2.990  0.3251E+00  0.1264E+00
  -2.980  0.3279E+00  0.1297E+00
  -2.970  0.3308E+00  0.1330E+00
  -2.960  0.3338E+00  0.1363E+00
  -2.950  0.3370E+00  0.1397E+00
  -2.940  0.3403E+00  0.1431E+00
  -2.930  0.3438E+00  0.1465E+00
  -2.920  0.3475E+00  0.1500E+00
  -2.910  0.3512E+00  0.1535E+00
  -2.900  0.3551E+00  0.1571E+00
  -2.890  0.3589E+00  0.1607E+00
  -2.880  0.3628E+00  0.1643E+00
  -2.870  0.3665E+00  0.1680E+00
  -2.860  0.3701E+00  0.1717E+00
  -2.850  0.3735E+00  0.1754E+00
  -2.840  0.3767E+00  0.1792E+00
  -2.830  0.3796E+00  0.1830E+00
  -2.820  0.3822E+00  0.1868E+00
  -2.810  0.3846E+00  0.1906E+00
  -2.800  0.3867E+00  0.1945E+00
  -2.790  0.3887E+00  0.1984E+00
  -2.780  0.3905E+00  0.2023E+00
  -2.770  0.3922E+00  0.2062E+00
  -2.760  0.3940E+00  0.2101E+00
  -2.750  0.3959E+00  0.2141E+00
  -2.740  0.3980E+00  0.2181E+00
  -2.730  0.4004E+00  0.2221E+00
  -2.720  0.4030E+00  0.2261E+00
  -2.710  0.4061E+00  0.2302E+00
  -2.700  0.4095E+00  0.2343E+00
  -2.690  0.4132E+00  0.2384E+00
  -2.680  0.4173E+00  0.2426E+00
  -2.670  0.4217E+00  0.2468E+00
  -2.660  0.4262E+00  0.2511E+00
  -2.650  0.4309E+00  0.2554E+00
  -2.640  0.4355E+00  0.2597E+00
  -2.630  0.4401E+00  0.2641E+00
  -2.620  0.4444E+00  0.2686E+00
  -2.610  0.4485E+00  0.2731E+00
  -2.600  0.4521E+00  0.2776E+00
  -2.590  0.4553E+00  0.2821E+00
  -2.580  0.4581E+00  0.2867E+00
  -2.570  0.4603E+00  0.2913E+00
  -2.560  0.4621E+00  0.2959E+00
  -2.550  0.4635E+00  0.3006E+00
  -2.540  0.4646E+00  0.3052E+00
  -2.530  0.4654E+00  0.3099E+00
  -2.520  0.4661E+00  0.3145E+00
  -2.510  0.4669E+00  0.3192E+00
  -2.500  0.4678E+00  0.3239E+00
  -2.490  0.4689E+00  0.3286E+00
  -2.480  0.4705E+00  0.3333E+00
  -2.470  0.4725E+00  0.3380E+00
  -2.460  0.4751E+00  0.3427E+00
  -2.450  0.4783E+00  0.3475E+00
  -2.440  0.4821E+00  0.3524E+00
  -2.430  0.4865E+00  0.3572E+00
  -2.420  0.4914E+00  0.3621E+00
  -2.410  0.4968E+00  0.3671E+00
  -2.400  0.5024E+00  0.3721E+00
  -2.390  0.5083E+00  0.3772E+00
  -2.380  0.5142E+00  0.3823E+00
  -2.370  0.5200E+00  0.3875E+00
  -2.360  0.5256E+00  0.3928E+00
  -2.350  0.5308E+00  0.3981E+00
  -2.340  0.5354E+00  0.4035E+00
  -2.330  0.5395E+00  0.4089E+00
  -2.320  0.5430E+00  0.4143E+00
  -2.310  0.5458E+00  0.4197E+00
  -2.300  0.5479E+00  0.4252E+00
  -2.290  0.5495E+00  0.4307E+00
  -2.280  0.5506E+00  0.4362E+00
  -2.270  0.5514E+00  0.4417E+00
  -2.260  0.5518E+00  0.4473E+00
  -2.250  0.5521E+00  0.4528E+00
